millis(),currentState,IMUAcc.acceleration.x,IMUAcc.acceleration.y,IMUAcc.acceleration.z,IMUGyro.gyro.x,IMUGyro.gyro.y,IMUGyro.gyro.z,IMUTher.temperature,BARO.readTemperature,BARO.readPressure,BARO.readAltitude
80839,2,2.33,1.8,9.83,0.10,0.-35,0.-5,2.50,6.22,93326.7,688.51
80873,2,2.3,1.5,9.74,0.8,0.-32,0.-3,2.37,6.21,93327.16,688.51
80907,2,2.48,0.92,9.46,0.7,0.-14,0.-2,2.50,6.21,93322.83,688.61
80941,2,2.14,0.78,10.10,0.6,0.-19,0.-3,2.43,6.21,93321.75,688.70
80975,2,2.34,1.30,10.23,0.8,0.-60,0.-4,2.43,6.21,93325.0,688.90
81010,2,3.12,1.38,9.99,0.8,0.-64,0.-4,2.43,6.20,93324.99,688.61
81044,2,2.28,1.64,9.98,0.7,0.-87,0.-3,2.37,6.21,93322.83,688.41
81079,2,3.10,1.59,9.19,0.4,0.-91,0.1,2.37,6.20,93323.91,688.32
81113,2,3.73,1.48,9.82,0.-3,-1.-6,0.8,2.43,6.21,93321.74,688.61
81147,2,4.7,1.53,9.93,0.-8,-1.-33,0.13,2.43,6.21,93317.41,688.90
81181,2,4.51,0.94,9.9,0.-12,-1.-38,0.17,2.37,6.20,93319.57,688.61
81215,2,4.2,0.61,8.94,0.-13,-1.-59,0.19,2.37,6.21,93318.50,688.51
81249,2,4.43,0.47,8.16,0.-12,-1.-62,0.22,2.43,6.21,93323.91,688.70
81284,2,5.46,0.65,7.88,0.-7,-1.-21,0.21,2.37,6.21,93323.91,687.84
81318,2,5.88,0.71,8.89,0.-5,-1.-35,0.14,2.37,6.21,93315.25,688.22
81352,2,5.92,0.84,7.40,0.-1,-1.-35,0.9,2.43,6.20,93320.66,688.61
81386,2,6.61,0.48,7.11,0.-4,-1.0,0.8,2.37,6.20,93321.75,688.61
81420,2,6.85,0.12,7.18,0.-16,-1.-50,0.6,2.37,6.20,93322.82,688.22
81454,2,6.44,0.20,7.8,0.-21,-1.-74,0.8,2.37,6.20,93326.7,688.99
81488,2,6.95,0.65,7.19,0.-12,-1.-39,0.11,2.43,6.21,93328.25,688.51
81522,2,6.55,0.51,7.29,0.-1,0.-87,0.14,2.43,6.20,93322.82,688.90
81557,2,7.30,0.-9,5.91,0.4,0.-96,0.21,2.37,6.21,93326.7,689.9
81591,2,7.78,0.20,5.57,0.10,0.-71,0.23,2.43,6.20,93319.57,688.51
81625,2,8.38,0.30,4.83,0.12,0.-49,0.20,2.37,6.20,93324.99,688.70
81659,2,7.78,0.-10,5.51,0.6,0.-16,0.12,2.37,6.21,93318.50,688.41
81693,2,8.44,0.24,6.69,0.9,0.-16,0.4,2.37,6.20,93326.7,688.22
81727,2,7.48,0.48,5.0,0.9,0.-20,0.-7,2.37,6.21,93326.8,688.32
81761,2,7.39,0.50,5.65,0.11,0.11,0.-11,2.37,6.20,93320.66,688.32
81795,2,7.70,0.29,6.4,0.16,0.-2,0.-12,2.37,6.20,93317.40,688.90
81830,2,8.11,0.35,5.48,0.14,0.-3,0.-12,2.37,6.20,93322.82,689.28
81864,2,8.41,0.28,5.86,0.13,0.7,0.-14,2.37,6.20,93318.49,689.19
81898,2,8.17,0.36,6.4,0.13,0.13,0.-18,2.31,6.21,93315.24,688.99
81932,2,7.61,0.24,6.38,0.14,0.8,0.-20,2.37,6.20,93319.57,688.61
