millis(),currentState,IMUAcc.acceleration.x,IMUAcc.acceleration.y,IMUAcc.acceleration.z,IMUGyro.gyro.x,IMUGyro.gyro.y,IMUGyro.gyro.z,IMUTher.temperature,BARO.readTemperature,BARO.readPressure,BARO.readAltitude
1188633,21,7.93,0.55,6.11,0.-3,0.9,0.-10,-1.-43,1.90,93481.99,674.55
1188669,21,8.10,0.-49,4.48,0.-5,0.17,0.-16,-1.-37,1.89,93479.84,675.12
1188707,21,7.79,0.26,6.23,0.15,0.19,0.-13,-1.-37,1.90,93476.60,674.74
1188743,21,8.6,3.52,9.49,0.-14,0.-40,0.-42,-1.-37,1.90,93483.3,674.36
1188779,21,9.63,0.-32,7.85,0.-66,0.-72,0.-53,-1.-43,1.90,93472.31,674.7
1188815,21,10.14,-1.-92,4.87,0.-64,0.-85,0.-43,-1.-43,1.90,93475.50,675.41
1188851,21,9.85,2.38,6.63,0.-51,0.-54,0.-41,-1.-43,1.90,93481.99,674.64
1188887,21,10.37,2.24,4.7,0.-61,0.-91,0.-37,-1.-37,1.90,93477.70,675.41
1188923,21,8.90,1.9,4.0,0.-39,0.-25,0.-36,-1.-31,1.90,93477.64,674.83
1188959,21,7.8,2.26,5.38,0.-37,0.4,0.-23,-1.-50,1.90,93484.14,674.93
1188997,21,7.46,1.38,4.47,0.-42,0.-7,0.-14,-1.-43,1.90,93483.9,674.83
1189033,21,7.60,0.47,3.35,0.-25,0.20,0.-13,-1.-43,1.89,93478.75,674.83
1189069,21,6.92,0.38,4.98,0.0,0.70,0.-11,-1.-43,1.89,93474.45,674.26
1189105,21,6.39,1.24,5.97,0.-6,0.74,0.-4,-1.-37,1.90,93484.14,674.83
1189141,21,7.0,0.-27,4.95,0.-3,0.54,0.20,-1.-37,1.90,93481.99,674.55
1189177,21,8.18,-1.-36,5.18,0.21,0.27,0.41,-1.-50,1.90,93486.28,674.45
1189213,21,9.32,0.27,6.47,0.16,0.28,0.29,-1.-37,1.90,93478.75,674.45
1189251,21,7.98,-1.-31,7.14,0.10,0.26,0.44,-1.-43,1.89,93481.93,674.83
1189287,21,8.59,-1.-45,7.92,0.40,0.-48,0.68,-1.-43,1.90,93483.3,674.93
1189323,21,10.77,0.-34,6.89,0.32,0.-63,0.2,-1.-43,1.89,93483.3,675.12
1189360,21,9.66,-2.-23,5.46,0.14,0.-47,0.-32,-1.-37,1.90,93481.93,674.26
1189396,21,7.30,-1.-62,5.57,0.33,0.-62,0.-10,-1.-43,1.89,93479.84,674.74
1189432,21,7.14,0.-35,5.13,0.30,0.-58,0.-29,-1.-37,1.90,93486.28,674.93
1189468,21,6.75,0.-75,4.60,0.19,0.-31,0.-43,-1.-37,1.89,93479.79,674.84
1189506,21,6.65,0.-83,4.57,0.21,0.-17,0.-22,-1.-37,1.89,93477.70,674.45
1189542,21,8.41,0.24,4.88,0.17,0.29,0.-32,-1.-43,1.89,93475.50,674.55
1189578,21,7.82,0.-23,5.65,0.18,0.81,0.-31,-1.-37,1.90,93479.84,674.74
1189614,21,7.36,0.-8,6.3,0.29,0.85,0.-5,-1.-31,1.90,93479.79,674.46
1189650,21,7.39,0.71,6.48,0.22,1.2,0.-16,-1.-37,1.90,93476.60,674.74
1189686,21,7.8,0.-77,6.98,0.25,0.70,0.-9,-1.-31,1.89,93478.79,674.35
1189722,21,8.33,1.30,7.98,0.25,0.1,0.-7,-1.-31,1.90,93478.75,675.12
1189760,21,8.2,1.47,8.3,0.-3,0.8,0.-34,-1.-37,1.90,93483.3,674.93
1189796,21,8.40,-1.-5,7.33,0.-11,0.-49,0.-28,-1.-43,1.89,93478.75,674.84
1189832,21,7.91,0.38,5.91,0.-1,0.-19,0.-26,-1.-43,1.89,93483.3,674.64
1189868,21,7.31,2.24,7.42,0.-16,0.-88,0.-9,-1.-43,1.90,93480.89,674.74
1189904,21,8.46,0.91,5.34,0.-25,-1.-52,0.1,-1.-50,1.90,93478.75,674.35
1189940,21,7.24,0.44,4.92,0.-23,0.-83,0.-8,-1.-37,1.90,93479.79,675.31
1189976,21,6.45,0.19,5.7,0.-23,0.-75,0.1,-1.-37,1.89,93487.38,674.64
1190012,21,7.44,0.12,3.90,0.-24,0.-86,0.6,-1.-37,1.90,93479.79,674.64
1190050,21,7.23,0.21,4.5,0.-5,0.1,0.5,-1.-37,1.89,93480.89,675.22
1190086,21,6.27,0.77,5.41,0.-1,0.20,0.0,-1.-43,1.90,93483.3,674.45
1190122,21,7.3,0.-34,4.87,0.0,0.9,0.-1,-1.-43,1.89,93483.3,674.93
1190158,21,8.53,0.-4,5.24,0.16,0.21,0.-3,-1.-43,1.89,93483.3,674.45
1190194,21,9.49,-1.-40,5.67,0.17,0.0,0.-11,-1.-37,1.90,93490.57,674.93
1190230,21,9.85,-1.-40,6.51,0.39,0.-15,0.10,-1.-37,1.89,93484.8,674.46
1190266,21,9.62,0.57,8.82,0.64,0.-19,0.33,-1.-37,1.89,93483.9,674.26
1190304,21,12.47,-1.-32,5.93,0.40,0.-98,0.5,-1.-37,1.89,93475.50,674.74
1190340,21,10.83,0.-84,5.33,0.37,0.-6,0.-24,-1.-37,1.89,93485.18,673.88
1190377,21,6.41,0.-10,7.12,0.32,0.-37,0.14,-1.-37,1.89,93480.89,674.93
1190413,21,9.41,0.-33,5.0,0.30,-1.-49,0.38,-1.-37,1.90,93489.42,674.17
1190449,21,9.31,0.0,3.1,0.29,0.-56,0.0,-1.-43,1.89,93486.28,674.46
1190485,21,3.97,0.-93,4.29,0.54,0.29,0.7,-1.-43,1.89,93480.89,674.64
1190521,21,4.78,0.-68,5.19,0.97,0.-27,0.56,-1.-43,1.89,93483.3,674.83
1190557,21,9.71,0.-7,3.37,0.94,0.-3,0.24,-1.-43,1.89,93490.52,674.74
1190595,21,6.25,0.-99,3.31,0.71,1.16,0.-21,-1.-37,1.89,93481.93,674.93
1190631,21,6.2,1.45,6.32,0.52,0.35,0.18,-1.-43,1.89,93478.75,674.65
1190667,21,9.52,0.89,4.22,0.25,0.-43,0.26,-1.-43,1.89,93485.18,674.74
1190703,21,9.48,0.72,5.48,0.28,0.40,0.18,-1.-37,1.89,93483.3,675.3
1190739,21,9.65,3.51,9.46,0.6,0.21,0.-3,-1.-37,1.89,93478.79,674.26
1190775,21,10.99,1.53,7.62,0.-48,0.-49,0.-26,-1.-43,1.90,93476.60,675.13
1190811,21,10.94,0.-85,4.14,0.-39,0.-30,0.-29,-1.-43,1.90,93476.60,674.46
1190849,21,9.48,1.34,6.47,0.-25,0.-14,0.-36,-1.-43,1.89,93485.18,674.74
1190885,21,9.43,1.66,6.34,0.-51,0.-59,0.-45,-1.-37,1.90,93479.84,674.64
1190921,21,8.31,0.-39,4.33,0.-48,0.-60,0.-29,-1.-43,1.90,93488.38,674.65
1190957,21,7.18,0.-34,4.34,0.-28,0.-39,0.-12,-1.-37,1.89,93483.3,674.84
1190993,21,7.30,0.-22,4.77,0.-25,0.-14,0.-13,-1.-37,1.90,93486.28,674.36
1191029,21,7.44,0.-84,3.57,0.-22,0.24,0.-3,-1.-37,1.89,93479.79,674.46
1191065,21,6.0,0.-2,4.77,0.-13,0.78,0.8,-1.-37,1.89,93480.89,675.22
1191103,21,6.12,0.-44,5.54,0.-10,0.49,0.27,-1.-43,1.89,93475.50,674.26
1191139,21,7.85,0.-92,4.55,0.10,0.38,0.38,-1.-37,1.90,93485.18,674.83
1191175,21,7.91,-1.-64,6.23,0.28,0.55,0.30,-1.-43,1.90,93485.18,674.74
1191211,21,9.46,0.-21,6.37,0.26,0.5,0.29,-1.-43,1.89,93484.8,674.26
1191247,21,9.69,0.-98,6.15,0.36,0.-16,0.24,-1.-37,1.89,93479.84,674.84
1191283,21,9.63,-2.-50,7.57,0.46,0.-30,0.7,-1.-43,1.90,93481.99,674.84
1191319,21,7.29,0.-12,7.96,0.30,0.-16,0.-18,-1.-37,1.90,93479.84,675.12
1191357,21,6.39,-1.-93,5.95,0.2,0.-87,0.14,-1.-37,1.89,93479.84,674.84
1191394,21,7.26,-3.-44,4.4,0.14,-1.-21,0.39,-1.-37,1.89,93479.79,674.64
1191430,21,6.64,-1.-53,4.70,0.18,0.-81,0.23,-1.-37,1.89,93479.74,674.55
1191466,21,6.22,-1.-22,4.55,0.5,0.-91,0.17,-1.-37,1.89,93482.98,674.55
1191502,21,7.14,-1.-86,3.22,0.8,0.-64,0.32,-1.-37,1.89,93477.64,674.36
1191538,21,6.20,0.-93,4.94,0.17,0.41,0.22,-1.-43,1.89,93484.8,674.65
1191574,21,6.33,0.-49,7.4,0.14,0.-9,0.10,-1.-37,1.90,93480.89,674.84
1191612,21,8.90,-1.-8,5.68,0.30,0.6,0.-10,-1.-37,1.89,93478.69,674.36
1191648,21,9.5,0.-69,7.21,0.36,0.62,0.-37,-1.-43,1.90,93478.75,674.46
1191684,21,9.27,-1.-16,6.11,0.18,0.-7,0.-56,-1.-37,1.89,93485.18,674.93
1191720,21,9.71,0.32,7.9,0.11,0.36,0.-62,-1.-43,1.89,93480.89,674.55
1191756,21,9.7,1.99,7.84,0.-31,0.56,-1.-2,-1.-37,1.90,93483.3,674.64
1191792,21,9.59,-1.-26,4.92,0.-66,0.30,0.-85,-1.-43,1.89,93480.84,674.83
1191828,21,7.96,0.-66,9.9,0.-36,0.48,0.-53,-1.-37,1.89,93483.3,674.74
1191864,21,11.72,0.-37,5.46,0.-50,-1.0,0.-27,-1.-37,1.89,93476.60,674.65
1191902,21,7.65,-2.-55,7.82,0.38,1.8,0.17,-1.-37,1.89,93486.28,674.45
1191938,21,7.41,4.31,11.72,0.36,0.4,0.57,-1.-37,1.89,93481.93,674.93
1191974,21,10.12,0.45,4.50,0.-90,0.-95,0.27,-1.-43,1.90,93476.54,674.36
1192010,21,2.35,-4.-2,2.48,0.-56,0.63,0.34,-1.-43,1.89,93479.79,675.42
1192046,21,2.56,0.-63,7.6,0.24,-1.-5,0.62,-1.-43,1.89,93483.3,674.55
1192082,21,7.43,0.76,0.91,0.-38,0.-35,0.-22,-1.-43,1.89,93479.79,675.22
1192118,21,2.74,-3.-31,2.72,0.43,1.18,0.-22,-1.-37,1.90,93482.98,674.65
1192156,21,8.59,-1.-85,8.23,1.39,0.-44,0.32,-1.-43,1.90,93490.57,674.93
1192192,21,10.93,-2.-53,5.51,0.92,0.0,0.-13,-1.-37,1.89,93486.23,674.55
1192228,21,8.59,-2.-84,8.30,1.39,0.-23,0.-26,-1.-43,1.88,93483.3,674.36
1192264,21,12.37,0.-43,7.76,1.60,0.-74,0.-42,-1.-43,1.90,93485.13,674.84
1192300,21,10.96,-1.-64,4.92,1.28,0.5,0.-55,-1.-43,1.89,93487.32,674.75
1192336,21,6.1,1.94,8.94,1.12,0.-47,0.-1,-1.-43,1.89,93484.8,675.3
1192372,21,9.99,2.68,5.45,0.39,-1.-79,0.-12,-1.-31,1.89,93486.23,674.36
1192410,21,7.48,0.1,2.34,0.-16,0.-13,0.-29,-1.-43,1.89,93484.14,674.27
1192446,21,4.10,3.4,5.90,0.-39,0.29,0.15,-1.-43,1.89,93486.23,674.36
1192482,21,6.81,2.25,4.46,-1.-6,0.-73,0.-2,-1.-43,1.89,93481.93,674.65
1192518,21,7.53,2.1,4.20,-1.-8,0.57,0.-22,-1.-43,1.89,93486.28,674.45
1192554,21,10.93,1.92,8.61,-1.0,0.-14,0.-32,-1.-43,1.89,93477.64,673.97
1192590,21,12.31,2.58,7.25,0.-94,0.5,0.-59,-1.-43,1.89,93483.3,674.36
1192626,21,7.18,0.42,6.30,0.-48,0.49,0.-66,-1.-37,1.89,93486.23,673.88
1192673,21,7.55,0.57,7.81,0.-17,0.-91,0.2,-1.-37,1.89,93479.74,674.17
1192709,21,8.83,-1.-96,4.95,0.-42,-1.-40,0.8,-1.-43,1.88,93485.13,674.55
1192745,21,6.65,-2.-49,1.78,0.-14,0.-52,0.41,-1.-37,1.89,93487.28,674.65
1192781,21,6.33,-1.-61,3.18,0.20,0.-41,0.64,-1.-43,1.88,93481.89,673.79
1192817,21,7.1,-1.-72,3.7,0.3,0.-51,0.61,-1.-37,1.89,93484.8,674.45
