millis(),currentState,calculatedFlightTime,IMUAcc.acceleration.x,IMUAcc.acceleration.y,IMUAcc.acceleration.z,IMUGyro.gyro.x,IMUGyro.gyro.y,IMUGyro.gyro.z,IMUTher.temperature,BARO.readTemperature,BARO.readPressure,BARO.readAltitude,orientation.actual.roll,orientation.actual.pitch,orientation.actual.yaw
4796,2,4796,0.-22,10.4,0.-31,0.4,0.-10,0.-9,6.37,10.34,92540.54,758.26,0.0,0.0,0.0
4842,2,4842,0.-35,10.2,0.-36,0.3,0.-15,0.-9,6.43,10.34,92532.96,758.55,0.0,0.0,0.0
4888,2,4888,0.-41,9.98,0.-18,0.1,0.-17,0.-9,6.43,10.33,92537.28,758.36,0.0,0.0,0.0
4934,2,4934,0.-65,10.1,0.-43,0.0,0.-8,0.-8,6.37,10.35,92539.47,758.65,0.0,0.0,0.0
4977,2,4977,0.-7,9.98,0.-22,0.-1,0.-9,0.-7,6.43,10.33,92535.10,758.75,0.0,0.0,0.0
5023,2,5023,0.-27,9.98,0.11,0.-2,0.-10,0.-9,6.43,10.34,92541.61,758.66,0.0,0.0,0.0
5070,2,5070,0.-15,10.6,0.38,0.-1,0.-9,0.-10,6.43,10.33,92536.17,758.65,0.0,0.0,0.0
5116,2,5116,0.-16,10.4,0.29,0.0,0.-2,0.-11,6.37,10.34,92535.10,758.75,0.0,0.0,0.0
5162,2,5162,0.-38,10.4,0.0,0.1,0.0,0.-12,6.50,10.35,92539.47,758.94,0.0,0.0,0.0
5208,2,5208,0.-69,10.4,0.-10,0.0,0.-4,0.-11,6.50,10.34,92547.5,758.76,0.0,0.0,0.0
5251,2,5251,0.-70,10.0,0.32,0.0,0.-5,0.-9,6.37,10.34,92541.66,758.76,0.0,0.0,0.0
5297,2,5297,0.-55,9.99,0.24,0.0,0.0,0.-7,6.37,10.35,92538.35,758.66,0.0,0.0,0.0
5343,2,5343,0.0,10.1,0.17,0.1,0.11,0.-7,6.43,10.34,92540.54,758.46,0.0,0.0,0.0
5389,2,5389,0.-18,9.95,0.27,0.1,0.0,0.-8,6.31,10.34,92548.17,758.75,0.0,0.0,0.0
5435,2,5435,0.-37,10.7,0.20,0.2,0.7,0.-9,6.43,10.35,92533.98,759.5,0.0,0.0,0.0
5481,2,5481,0.-12,9.92,0.20,0.1,0.-2,0.-8,6.43,10.34,92538.35,758.85,0.0,0.0,0.0
5527,2,5529,0.-44,9.98,0.47,0.2,0.-11,0.-8,6.43,10.33,92539.52,758.85,0.0,0.0,0.0
5570,2,5570,0.-33,10.3,0.28,0.4,0.6,0.-9,6.43,10.34,92538.40,758.85,0.0,0.0,0.0
5616,2,5616,0.-28,10.1,0.21,0.4,0.8,0.-9,6.43,10.34,92540.54,758.56,0.0,0.0,0.0
5662,2,5662,0.-46,10.3,0.25,0.4,0.-11,0.-9,6.43,10.34,92538.35,758.46,0.0,0.0,0.0
5708,2,5708,0.-39,10.1,0.25,0.5,0.-8,0.-8,6.43,10.35,92538.35,759.5,0.0,0.0,0.0
5754,2,5754,0.-71,9.94,0.25,0.5,0.-4,0.-8,6.43,10.34,92539.47,758.66,0.0,0.0,0.0
5800,2,5800,0.-33,10.3,0.6,0.5,0.9,0.-7,6.37,10.33,92540.59,757.97,0.0,0.0,0.0
5843,2,5843,0.-27,10.45,0.7,0.4,0.-4,0.-8,6.43,10.34,92536.22,758.26,0.0,0.0,0.0
5889,2,5889,0.-60,9.72,0.32,0.6,0.-9,0.-8,6.50,10.33,92531.85,758.95,0.0,0.0,0.0
5935,2,5935,0.-42,10.12,0.12,0.5,0.0,0.-7,6.43,10.33,92539.47,758.85,0.0,0.0,0.0
5981,2,5981,0.-30,10.5,0.-5,0.5,0.-14,0.-7,6.50,10.34,92529.66,758.36,0.0,0.0,0.0
6027,2,6027,0.-34,10.3,0.-17,0.4,0.-15,0.-8,6.37,10.33,92529.71,758.46,0.0,0.0,0.0
6074,2,6074,0.78,10.8,0.32,0.4,0.-12,0.-9,6.50,10.34,92537.28,758.46,0.0,0.0,0.0
6116,2,6116,0.-50,10.0,0.22,0.4,0.-13,0.-9,6.37,10.33,92532.92,758.17,0.0,0.0,0.0
6162,2,6162,0.-67,9.99,0.23,0.5,0.-8,0.-7,6.43,10.34,92537.28,759.34,0.0,0.0,0.0
6208,2,6208,0.-30,9.88,0.18,0.6,0.-10,0.-7,6.43,10.34,92530.67,759.5,0.0,0.0,0.0
6254,2,6254,0.-13,10.0,0.6,0.5,0.-16,0.-8,6.37,10.34,92536.17,758.76,0.0,0.0,0.0
6300,2,6300,0.-22,9.97,0.38,0.6,0.-7,0.-10,6.37,10.34,92537.24,758.76,0.0,0.0,0.0
6346,2,6346,0.-17,10.37,0.34,0.0,0.-5,0.-11,6.43,10.34,92532.86,758.26,0.0,0.0,0.0
6394,2,6394,0.-77,10.21,0.46,0.6,0.-8,0.-8,6.37,10.34,92538.35,758.95,0.0,0.0,0.0
6440,2,6440,0.-39,10.1,0.28,0.6,0.2,0.-7,6.43,10.33,92541.61,759.5,0.0,0.0,0.0
6486,2,6486,0.-33,10.7,0.-13,0.7,0.-9,0.-7,6.43,10.34,92535.10,758.46,0.0,0.0,0.0
6532,2,6532,0.-62,9.98,0.8,0.7,0.-10,0.-5,6.50,10.35,92536.17,758.75,0.0,0.0,0.0
6578,2,6578,0.-46,9.96,0.46,0.8,0.-9,0.-5,6.43,10.34,92538.35,758.17,0.0,0.0,0.0
6624,2,6624,0.-25,10.7,0.28,0.9,0.0,0.-5,6.43,10.34,92533.98,758.46,0.0,0.0,0.0
6670,2,6670,0.-39,10.0,0.-87,0.6,0.5,0.-2,6.37,10.33,92541.66,759.53,0.0,0.0,0.0
6713,2,6713,0.-6,10.12,0.-61,0.5,0.-10,0.-5,6.50,10.34,92535.10,758.75,0.0,0.0,0.0
6759,2,6759,0.8,9.93,1.52,0.15,0.-33,0.-10,6.43,10.33,92532.96,758.26,0.0,0.0,0.0
6805,2,6805,0.-27,9.95,0.23,0.6,0.-5,0.-7,6.50,10.34,92535.10,758.26,0.0,0.0,0.0
6851,2,6851,0.-30,10.6,0.-31,0.8,0.-8,0.-9,6.50,10.34,92537.28,758.66,0.0,0.0,0.0
6897,2,6897,0.-13,10.2,0.-31,0.6,0.-16,0.-10,6.50,10.33,92531.85,758.95,0.0,0.0,0.0
6943,2,6943,0.-24,10.7,0.-12,0.5,0.-21,0.-12,6.50,10.34,92537.28,759.24,0.0,0.0,0.0
6986,2,6986,0.-32,10.3,0.-6,0.5,0.-10,0.-12,6.31,10.33,92537.34,758.75,0.0,0.0,0.0
7032,2,7032,0.-55,9.99,0.4,0.5,0.-12,0.-11,6.50,10.34,92541.66,758.75,0.0,0.0,0.0
7079,2,7079,0.-85,9.93,0.0,0.6,0.-7,0.-10,6.50,10.33,92538.40,758.56,0.0,0.0,0.0
7125,2,7125,0.-58,9.97,0.0,0.6,0.-9,0.-8,6.37,10.33,92539.47,758.75,0.0,0.0,0.0
7171,2,7171,0.-57,10.4,0.1,0.6,0.-9,0.-6,6.43,10.33,92540.59,759.5,0.0,0.0,0.0
7217,2,7217,0.-33,9.96,0.7,0.7,0.-9,0.-6,6.43,10.33,92532.92,758.75,0.0,0.0,0.0
7265,2,7265,0.-23,9.98,0.5,0.9,0.-10,0.-6,6.56,10.34,92536.22,758.56,0.0,0.0,0.0
7311,2,7311,0.-3,10.2,0.-22,0.9,0.-6,0.-7,6.43,10.33,92540.54,758.85,0.0,0.0,0.0
7357,2,7357,0.-30,9.97,0.-47,0.7,0.-10,0.-8,6.37,10.34,92541.66,758.46,0.0,0.0,0.0
7403,2,7403,0.1,9.80,0.-48,0.5,0.-5,0.-9,6.43,10.33,92536.17,758.56,0.0,0.0,0.0
7449,2,7449,0.-21,9.86,0.-19,0.4,0.-12,0.-10,6.43,10.34,92538.35,758.75,0.0,0.0,0.0
7495,2,7495,0.-81,9.98,0.-18,0.5,0.-26,0.-9,6.43,10.33,92537.28,758.46,0.0,0.0,0.0
7541,2,7543,0.-78,9.99,0.-25,0.4,0.-19,0.-7,6.43,10.33,92540.59,759.24,0.0,0.0,0.0
7584,2,7584,0.-39,10.1,0.-34,0.3,0.-7,0.-5,6.43,10.33,92538.40,758.95,0.0,0.0,0.0
7630,2,7630,0.-40,10.1,0.-25,0.2,0.-15,0.-5,6.50,10.33,92530.78,758.95,0.0,0.0,0.0
7676,2,7676,0.-29,10.4,0.-3,0.2,0.-39,0.-4,6.43,10.33,92540.59,758.46,0.0,0.0,0.0
7722,2,7722,0.-11,10.0,0.-9,0.3,0.-16,0.-5,6.56,10.34,92535.5,759.24,0.0,0.0,0.0
7768,2,7768,0.-10,10.1,0.-5,0.3,0.-20,0.-6,6.43,10.33,92541.66,758.46,0.0,0.0,0.0
7814,2,7814,0.-15,9.98,0.-31,0.3,0.-32,0.-8,6.43,10.33,92536.22,758.65,0.0,0.0,0.0
7857,2,7857,0.-9,10.6,0.-51,0.2,0.-14,0.-9,6.50,10.33,92534.3,758.75,0.0,0.0,0.0
7903,2,7903,0.1,9.98,0.-60,0.-1,0.-9,0.-10,6.50,10.34,92537.28,758.65,0.0,0.0,0.0
7949,2,7949,0.-55,9.89,0.-31,0.-4,0.-28,0.-11,6.43,10.34,92526.41,758.94,0.0,0.0,0.0
7995,2,7995,0.-62,10.0,0.-5,0.-5,0.-19,0.-10,6.50,10.33,92533.98,759.44,0.0,0.0,0.0
8041,2,8041,0.-66,10.0,0.0,0.-5,0.-16,0.-7,6.43,10.34,92535.15,759.24,0.0,0.0,0.0
8088,2,8088,0.-67,9.99,0.1,0.-4,0.-23,0.-5,6.43,10.33,92537.28,759.24,0.0,0.0,0.0
8130,2,8130,0.-72,9.90,0.-4,0.-5,0.-15,0.-3,6.50,10.33,92538.40,758.75,0.0,0.0,0.0
8176,2,8176,0.-26,10.4,0.11,0.-5,0.-3,0.-2,6.43,10.33,92529.71,759.24,0.0,0.0,0.0
